step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
171,158764,684,0.015579741610403097,0.75,0.75,,,,,,,,,
172,160272,688,0.014011061331441012,1.0,1.0,,,,,,,,,
173,161492,692,0.012791198642946111,1.0,1.0,,,,,,,,,
174,162744,696,0.012706632217984659,1.0,1.0,,,,,,,,,
175,163100,700,0.030551219918105,1.0,1.0,,,,,,,,,
176,164320,704,0.01677773436628467,0.75,0.75,,,,,,,,,
177,165540,708,0.011228221930742114,1.0,1.0,0.04446859740865876,0.75,0.75,,,,,,
178,166504,712,0.015168627436009179,0.75,0.75,,,,,,,,,
179,167468,716,0.01926870729375514,1.0,1.0,,,,,,,,,
180,168688,720,0.011996903422799325,1.0,1.0,,,,,,,,,
181,169556,724,0.016610630510890925,0.75,0.75,,,,,,,,,
182,169848,728,0.03893413995175605,0.75,0.75,,,,,,,,,
183,171100,732,0.014279463059497873,0.75,0.75,,,,,,,,,
184,172224,736,0.01658186620203482,0.75,0.75,,,,,,,,,
185,173636,740,0.013915723041943225,0.75,0.75,0.018084587379831808,0.25,0.25,,,,,,
186,174856,744,0.012000430447719975,0.75,0.75,,,,,,,,,
187,175724,748,0.015140117813895971,0.75,0.75,,,,,,,,,
188,176752,752,0.015352662007797955,1.0,1.0,,,,,,,,,
189,177780,756,0.016699341166784905,0.5,0.5,,,,,,,,,
190,178968,760,0.013863728228193517,1.0,1.0,,,,,,,,,
191,179836,764,0.014987296167254735,1.0,1.0,,,,,,,,,
192,181152,768,0.014903504387098943,0.75,0.75,,,,,,,,,
193,181988,772,0.01481456335515724,0.5,0.5,0.013724642852671741,0.25,0.25,,,,,,
194,183208,776,0.016946592406130716,1.0,1.0,,,,,,,,,
195,184428,780,0.014188207047330698,1.0,1.0,,,,,,,,,
196,184752,784,0.028846638253640776,0.75,0.75,,,,,,,,,
197,185940,788,0.011416776092123855,0.75,0.75,,,,,,,,,
198,187160,792,0.01278614204823474,0.75,0.75,,,,,,,,,
199,187484,796,0.03223112523237069,0.5,0.5,,,,,,,,,
200,188608,800,0.012045931818314006,1.0,1.0,,,,,,,,,
201,189572,804,0.017493676744211217,1.0,1.0,0.013310352257927453,1.0,1.0,,,,,,
202,190568,808,0.022498881332326897,1.0,1.0,,,,,,,,,
203,191468,812,0.014078514446475484,1.0,1.0,,,,,,,,,
204,192336,816,0.014926659583969822,1.0,1.0,,,,,,,,,
205,193588,820,0.008822785571040635,1.0,1.0,,,,,,,,,
206,194488,824,0.01739722880768308,1.0,1.0,,,,,,,,,
207,194876,828,0.023558851897817784,1.0,1.0,,,,,,,,,
208,195936,832,0.015023555783394236,0.75,0.75,,,,,,,,,
209,196836,836,0.011893523152313278,1.0,1.0,0.00730435091310722,1.0,1.0,,,,,,
210,198024,840,0.012403496469710939,1.0,1.0,,,,,,,,,
211,199020,844,0.016008338921535234,0.75,0.75,,,,,,,,,
212,199952,848,0.01785423762140226,0.75,0.75,,,,,,,,,
213,201204,852,0.01415053868594593,1.0,1.0,,,,,,,,,
214,201656,856,0.03248284568714423,0.75,0.75,,,,,,,,,
215,202204,860,0.028578060939856938,0.75,0.75,,,,,,,,,
216,203168,864,0.012002031596287044,1.0,1.0,,,,,,,,,
217,204228,868,0.0204606212151697,1.0,1.0,0.014665373932206386,1.0,1.0,,,,,,
218,205288,872,0.015380101697628561,1.0,1.0,,,,,,,,,
219,206508,876,0.015596804779980197,0.25,0.25,,,,,,,,,
220,206960,880,0.025295818339832948,0.5,0.5,,,,,,,,,
221,207924,884,0.01951273222500125,0.75,0.75,,,,,,,,,
222,209176,888,0.01405406556801002,1.0,1.0,,,,,,,,,
223,210300,892,0.015314128539004093,0.5,0.5,,,,,,,,,
224,210752,896,0.0270193156491041,1.0,1.0,,,,,,,,,
225,211012,900,0.03895655095712981,0.75,0.75,0.014692830965313592,1.0,1.0,,,,,,
226,211880,904,0.010238280890395498,0.75,0.75,,,,,,,,,
227,213132,908,0.010239212958055587,0.75,0.75,,,,,,,,,
228,214288,912,0.020757710566306663,0.75,0.75,,,,,,,,,
229,215060,916,0.020382653123973193,0.5,0.5,,,,,,,,,
230,216280,920,0.013300975792861111,1.0,1.0,,,,,,,,,
231,217052,924,0.01448022315850494,1.0,1.0,,,,,,,,,
232,218048,928,0.016171360478162363,1.0,1.0,,,,,,,,,
233,219300,932,0.011353845701735574,0.75,0.75,0.012096744363473544,1.0,1.0,,,,,,
234,220552,936,0.014884678633069442,0.75,0.75,,,,,,,,,
235,221708,940,0.018440174869446713,0.5,0.5,,,,,,,,,
236,222896,944,0.015219655615998473,0.75,0.75,,,,,,,,,
237,224148,948,0.012963221755620183,1.0,1.0,,,,,,,,,
238,225336,952,0.015519413401833156,1.0,1.0,,,,,,,,,
239,226556,956,0.01545159198237457,1.0,1.0,,,,,,,,,
240,227680,960,0.012510083133024636,1.0,1.0,,,,,,,,,
241,228004,964,0.03824711683000169,0.75,0.75,0.025607403720561285,0.75,0.75,,,,,,
242,228840,968,0.011209426363763599,1.0,1.0,,,,,,,,,
243,229836,972,0.018091087105867112,0.75,0.75,,,,,,,,,
244,231056,976,0.010050668399643772,1.0,1.0,,,,,,,,,
245,232148,980,0.014554338991594341,1.0,1.0,,,,,,,,,
246,232440,984,0.03980980278696532,0.75,0.75,,,,,,,,,
247,232860,988,0.0285052354736763,0.5,0.5,,,,,,,,,
248,233920,992,0.012240657393434405,1.0,1.0,,,,,,,,,
249,235140,996,0.013386947484594347,1.0,1.0,0.04358434674758528,0.5,0.5,,,,,,
250,236072,1000,0.009486531633469112,1.0,1.0,,,,,,,,,
251,237036,1004,0.01404596092920474,1.0,1.0,,,,,,,,,
252,238032,1008,0.016936421981523977,0.5,0.5,,,,,,,,,
253,239316,1012,0.017484621131354246,0.75,0.75,,,,,,,,,
254,239704,1016,0.01716917572937064,1.0,1.0,,,,,,,,,
255,240764,1020,0.014130086938241608,0.75,0.75,,,,,,,,,
256,241952,1024,0.013570089148421255,0.5,0.5,,,,,,,,,
257,242276,1028,0.02923568004995968,1.0,1.0,0.015414437503968363,0.5,0.5,,,,,,
258,243368,1032,0.016761677696148922,1.0,1.0,,,,,,,,,
259,244620,1036,0.014695678394181158,1.0,1.0,,,,,,,,,
260,245648,1040,0.011881718750159679,0.75,0.75,,,,,,,,,
261,245940,1044,0.029165368683241266,1.0,1.0,,,,,,,,,
262,246264,1048,0.02708699087628702,1.0,1.0,,,,,,,,,
263,247484,1052,0.01775136751326081,0.75,0.75,,,,,,,,,
264,248544,1056,0.011521964447523124,1.0,1.0,,,,,,,,,
265,248932,1060,0.03147159545998874,0.5,0.5,0.016556643473699388,0.75,0.75,,,,,,
266,249384,1064,0.0277656113975315,0.75,0.75,,,,,,,,,
267,249772,1068,0.02892995723007592,0.75,0.75,,,,,,,,,
268,250576,1072,0.014993449921601223,1.0,1.0,,,,,,,,,
269,251988,1076,0.015011018360224336,1.0,1.0,,,,,,,,,
270,252984,1080,0.01202895367438054,1.0,1.0,,,,,,,,,
271,254044,1084,0.011406496817875119,0.75,0.75,,,,,,,,,
272,255200,1088,0.016188168251976044,0.75,0.75,,,,,,,,,
273,256260,1092,0.011222428913721766,1.0,1.0,0.01714656034229733,0.5,0.5,,,,,,
274,256648,1096,0.03080911122001945,0.75,0.75,,,,,,,,,
275,257836,1100,0.015983262956306133,0.75,0.75,,,,,,,,,
276,258992,1104,0.011186209568086396,1.0,1.0,,,,,,,,,
277,260212,1108,0.010906147256369984,1.0,1.0,,,,,,,,,
278,261336,1112,0.016286936578245398,0.75,0.75,,,,,,,,,
279,262364,1116,0.016575259005893482,0.75,0.75,,,,,,,,,
280,263584,1120,0.011822282566675425,1.0,1.0,,,,,,,,,
281,264836,1124,0.012501644564114053,1.0,1.0,0.012944200897548979,1.0,1.0,,,,,,
282,265640,1128,0.013997801159317534,1.0,1.0,,,,,,,,,
283,266572,1132,0.016325145267710152,1.0,1.0,,,,,,,,,
284,267728,1136,0.012174891811847601,1.0,1.0,,,,,,,,,
285,268052,1140,0.03323354682138961,0.5,0.5,,,,,,,,,
286,269240,1144,0.010331256358840989,1.0,1.0,,,,,,,,,
287,269468,1148,0.029735325741359182,1.0,1.0,,,,,,,,,
288,270272,1152,0.021196143465428034,0.75,0.75,,,,,,,,,
289,270692,1156,0.02644315502637325,0.75,0.75,0.043111741743300624,0.75,0.75,,,,,,
290,271848,1160,0.01194499281408058,0.75,0.75,,,,,,,,,
291,273100,1164,0.011412440170238606,1.0,1.0,,,,,,,,,
292,274128,1168,0.009901544585484316,1.0,1.0,,,,,,,,,
293,275124,1172,0.02165685667060994,1.0,1.0,,,,,,,,,
294,275992,1176,0.01611195608858696,1.0,1.0,,,,,,,,,
295,276412,1180,0.024704399660002728,1.0,1.0,,,,,,,,,
296,277664,1184,0.013593667081557051,0.75,0.75,,,,,,,,,
297,278788,1188,0.00955657105031735,1.0,1.0,0.013504026923531117,0.75,0.75,,,,,,
298,279368,1192,0.020107019815389624,1.0,1.0,,,,,,,,,
299,280428,1196,0.013461691319510664,1.0,1.0,,,,,,,,,
300,281264,1200,0.016568176932377568,1.0,1.0,,,,,,,,,
301,282452,1204,0.015552004747371239,0.75,0.75,,,,,,,,,
302,283672,1208,0.010720460579122537,0.75,0.75,,,,,,,,,
303,284892,1212,0.012051313507969515,1.0,1.0,,,,,,,,,
304,285856,1216,0.010299477624259756,0.75,0.75,,,,,,,,,
305,287236,1220,0.012311853957262827,1.0,1.0,0.014782210752126192,0.5,0.5,,,,,,
306,287592,1224,0.025478203332903914,1.0,1.0,,,,,,,,,
307,288524,1228,0.015218299283787614,0.5,0.5,,,,,,,,,
308,288944,1232,0.02402125278772963,1.0,1.0,,,,,,,,,
309,290228,1236,0.015632628682831183,0.75,0.75,,,,,,,,,
310,290552,1240,0.03463626294090818,0.75,0.75,,,,,,,,,
311,291804,1244,0.009482025760460863,1.0,1.0,,,,,,,,,
312,292704,1248,0.014030456673910367,1.0,1.0,,,,,,,,,
313,293412,1252,0.014868490494232818,1.0,1.0,0.013193257628512676,1.0,1.0,,,,,,
314,294280,1256,0.01645152345196544,1.0,1.0,,,,,,,,,
315,295628,1260,0.01527732850867237,0.75,0.75,,,,,,,,,
316,296048,1264,0.025366174742446176,0.75,0.75,,,,,,,,,
317,296372,1268,0.03293096549736219,1.0,1.0,,,,,,,,,
318,297592,1272,0.015847164073986675,0.5,0.5,,,,,,,,,
319,298844,1276,0.010857610402499397,1.0,1.0,,,,,,,,,
320,300032,1280,0.013741684666901828,1.0,1.0,,,,,,,,,
321,300548,1284,0.025292132154852424,0.75,0.75,0.011491590019055736,1.0,1.0,,,,,,
322,301448,1288,0.014188249432366759,0.5,0.5,,,,,,,,,
323,301708,1292,0.031892428662088725,0.75,0.75,,,,,,,,,
324,302896,1296,0.01580892270371747,0.5,0.5,,,,,,,,,
325,303156,1300,0.03386550636020047,0.75,0.75,,,,,,,,,
326,304280,1304,0.014699535163383189,0.75,0.75,,,,,,,,,
327,305436,1308,0.017993846211948543,0.75,0.75,,,,,,,,,
328,306400,1312,0.020730794131440085,0.5,0.5,,,,,,,,,
329,306820,1316,0.025181674065636168,0.75,0.75,0.015648334720171107,1.0,1.0,,,,,,
330,307784,1320,0.013503002781301652,1.0,1.0,,,,,,,,,
331,308876,1324,0.014579732654663745,1.0,1.0,,,,,,,,,
332,310096,1328,0.00830677901737425,1.0,1.0,,,,,,,,,
333,310996,1332,0.01533668285646042,0.5,0.5,,,,,,,,,
334,311768,1336,0.014496482684743723,1.0,1.0,,,,,,,,,
335,312188,1340,0.033869978326985385,0.25,0.25,,,,,,,,,
336,313024,1344,0.015321633148859063,1.0,1.0,,,,,,,,,
337,313892,1348,0.015398042789070154,1.0,1.0,0.020945985234658453,0.5,0.5,,,,,,
338,314408,1352,0.026920000931904723,0.5,0.5,,,,,,,,,
339,315596,1356,0.011405570211874777,0.75,0.75,,,,,,,,,
340,316848,1360,0.010182995582574952,0.75,0.75,,,,,,,,,
341,317204,1364,0.027772141661436777,1.0,1.0,,,,,,,,,
342,318392,1368,0.008404422309341818,1.0,1.0,,,,,,,,,
343,319356,1372,0.017241211821382083,0.75,0.75,,,,,,,,,
344,320416,1376,0.014256138487728207,0.75,0.75,,,,,,,,,
345,321476,1380,0.01921053242070391,0.5,0.5,0.017004713922748178,0.5,0.5,,,,,,
346,322568,1384,0.014142807384184433,0.75,0.75,,,,,,,,,
347,322860,1388,0.03264142565019736,0.75,0.75,,,,,,,,,
348,324080,1392,0.009118450071166654,0.75,0.75,,,,,,,,,
349,324980,1396,0.016114948564713873,0.5,0.5,,,,,,,,,
350,326168,1400,0.018095185125241088,0.75,0.75,,,,,,,,,
351,327004,1404,0.012616136618005647,1.0,1.0,,,,,,,,,
352,328128,1408,0.012910486090161708,1.0,1.0,,,,,,,,,
353,328868,1412,0.01681403529258699,1.0,1.0,0.016862557358669594,1.0,1.0,,,,,,
354,330024,1416,0.017221474059354272,1.0,1.0,,,,,,,,,
355,330668,1420,0.021457442705293716,0.75,0.75,,,,,,,,,
356,331216,1424,0.02369955284288688,0.75,0.75,,,,,,,,,
357,332372,1428,0.009983885819988625,1.0,1.0,,,,,,,,,
